iter	RMSE
0	1.123748038
1	1.093149821
2	1.064591193
3	1.037322568
4	1.012943089
5	0.9897282156
6	0.9682691524
7	0.9482568446
8	0.9301173617
9	0.9135721777
10	0.8977778385
11	0.8839960367
12	0.8714916091
13	0.8590118111
14	0.8466784972
15	0.83669531
16	0.8270612951
17	0.8178981577
18	0.8101414877
19	0.8023925321
20	0.7953553507
21	0.7874413662
22	0.7807869424
23	0.7756952166
24	0.7700101256
25	0.7641689013
26	0.7595957597
27	0.7545749074
28	0.751143378
29	0.7473290432
30	0.7430831438
31	0.7396826443
32	0.7361075398
33	0.7332413353
34	0.7299336702
35	0.7270124851
36	0.7249891084
37	0.7226207362
38	0.7197942976
39	0.7176529583
40	0.7155895898
41	0.7132838677
42	0.7114873128
43	0.7090250976
44	0.7071594994
45	0.705467961
46	0.7033777971
47	0.7014235223
48	0.6997214831
49	0.6977118559
50	0.6960524402
51	0.6945640763
52	0.6928835271
53	0.6917295452
54	0.6906597768
55	0.6892493553
56	0.6874859493
57	0.6861516972
58	0.6850732278
59	0.6835380362
60	0.6824648158
61	0.6815649071
62	0.6803226863
63	0.6793737378
64	0.6783428904
65	0.6774490933
66	0.6764625575
67	0.6751601668
68	0.6742651699
69	0.6733838002
70	0.672176159
71	0.6709617845
72	0.6697640579
73	0.6690275394
74	0.668321486
75	0.6677641173
76	0.6669772901
77	0.6661812138
78	0.6653857557
79	0.6646209613
80	0.6639518955
81	0.6631540083
82	0.6623786953
83	0.6615069531
84	0.6604300861
85	0.659728748
86	0.6589848831
87	0.6582996312
88	0.6576305894
89	0.6569117739
90	0.6564702288
91	0.6557028579
92	0.6550869475
93	0.6544413097
94	0.6539269778
95	0.653534546
96	0.6530136385
97	0.652291517
98	0.6516234708
99	0.6512100909
100	0.6501172157
101	0.6496452091
102	0.6491769114
103	0.6489515746
104	0.648467176
105	0.6479881001
106	0.647666781
107	0.6472353302
108	0.6468374151
109	0.6463529964
110	0.6459919963
111	0.6453609615
112	0.6449242039
113	0.6446437602
114	0.6440745813
115	0.6436207949
116	0.6427796059
117	0.6424098801
118	0.6417112045
119	0.6412934962
120	0.6409303636
121	0.6402320518
122	0.6398290969
123	0.6394275076
124	0.6387992173
125	0.6384120521
126	0.637838973
127	0.6375829129
128	0.6370161845
129	0.6366198209
130	0.6363041964
131	0.63594669
132	0.6355990572
133	0.6351791572
134	0.6346506996
135	0.6343357409
136	0.6338232238
137	0.6333474365
138	0.6328706917
139	0.6326320163
140	0.6320695303
141	0.6317507802
142	0.6314897317
143	0.6309139779
144	0.6304243132
145	0.6300731419
146	0.6295645734
147	0.6293809521
148	0.6289623588
149	0.6282756159
150	0.6279834329
151	0.627607485
152	0.6270256599
153	0.6267424981
154	0.6262866735
155	0.6259030484
156	0.6253040436
157	0.6250313658
158	0.6246154532
159	0.6241942873
160	0.6237407273
161	0.6233249487
162	0.6231000822
163	0.6228260036
164	0.6225263651
165	0.6221449247
166	0.6215223022
167	0.6207192956
168	0.6203774212
169	0.6198293743
170	0.6195026139
171	0.6190069039
172	0.6184630249
173	0.6180429468
174	0.6176506918
175	0.6172465287
176	0.6168000244
177	0.6164486457
178	0.6159179212
179	0.6156434954
180	0.6152960439
181	0.6147546352
182	0.614419099
183	0.6139360782
184	0.61338961
185	0.613049269
186	0.6125127554
187	0.6123603329
188	0.6119963195
189	0.6114467753
190	0.6111135956
191	0.6106000741
192	0.6102414189
193	0.6097119512
194	0.6094336916
195	0.6090535263
196	0.6085599239
197	0.6084196926
198	0.6082660132
199	0.6078863723
200	0.6075222266
201	0.6072983314
202	0.606740294
203	0.6064972284
204	0.6062448853
205	0.6060851889
