iter	Passed	Remaining
0	24	24686
1	26	13387
2	29	9641
3	31	7732
4	33	6606
5	35	5864
6	37	5317
7	39	4914
8	41	4599
9	43	4349
10	46	4141
11	48	3964
12	50	3812
13	52	3689
14	54	3584
15	56	3486
16	58	3395
17	60	3319
18	62	3246
19	64	3176
20	66	3115
21	68	3064
22	71	3023
23	73	2980
24	75	2943
25	77	2905
26	79	2866
27	81	2834
28	83	2800
29	85	2771
30	87	2748
31	90	2722
32	92	2697
33	94	2672
34	96	2649
35	98	2630
36	100	2611
37	102	2596
38	104	2579
39	106	2560
40	108	2545
41	110	2527
42	112	2512
43	114	2497
44	116	2480
45	118	2466
46	121	2455
47	123	2442
48	125	2430
49	127	2416
50	129	2405
51	131	2393
52	133	2381
53	135	2373
54	137	2360
55	139	2348
56	141	2338
57	143	2327
58	145	2316
59	147	2305
60	149	2296
61	151	2290
62	153	2283
63	155	2276
64	157	2267
65	159	2258
66	161	2250
67	163	2241
68	165	2233
69	167	2226
70	169	2219
71	171	2211
72	173	2204
73	175	2198
74	177	2190
75	179	2184
76	181	2178
77	183	2173
78	185	2167
79	187	2161
80	189	2155
81	191	2148
82	193	2142
83	195	2137
84	198	2131
85	200	2125
86	202	2120
87	204	2115
88	206	2109
89	208	2103
90	210	2100
91	212	2094
92	214	2089
93	216	2085
94	218	2079
95	220	2074
96	222	2068
97	224	2064
98	226	2058
99	228	2054
100	230	2051
101	232	2046
102	234	2041
103	236	2035
104	238	2031
105	240	2027
106	242	2022
107	244	2020
108	246	2015
109	248	2011
110	250	2007
111	252	2003
112	254	1998
113	256	1994
114	258	1990
115	260	1985
116	262	1982
117	264	1978
118	266	1974
119	268	1971
120	270	1967
121	272	1963
122	274	1959
123	276	1956
124	279	1953
125	281	1951
126	283	1947
127	285	1943
128	287	1940
129	289	1937
130	291	1934
131	293	1932
132	295	1929
133	298	1926
134	300	1922
135	302	1919
136	304	1917
137	306	1915
138	308	1912
139	310	1909
140	312	1906
141	314	1903
142	317	1899
143	319	1897
144	321	1894
145	323	1891
146	325	1889
147	327	1887
148	330	1885
149	332	1881
150	334	1878
151	336	1876
152	338	1873
153	339	1866
154	341	1864
155	344	1861
156	346	1858
157	348	1856
158	350	1853
159	352	1850
160	354	1848
161	356	1846
162	359	1843
163	361	1842
164	363	1840
165	366	1839
166	368	1837
167	370	1833
168	372	1831
169	374	1829
170	376	1826
171	378	1823
172	380	1820
173	382	1817
174	385	1815
175	387	1812
176	389	1810
177	391	1808
178	393	1806
179	395	1803
180	398	1801
181	400	1798
182	402	1795
183	404	1793
184	406	1791
185	408	1788
186	410	1785
187	412	1782
188	414	1780
189	417	1777
190	419	1775
191	421	1773
192	423	1770
193	425	1768
194	427	1766
195	429	1763
196	432	1761
197	434	1758
198	436	1755
199	438	1753
200	440	1750
201	442	1747
202	444	1745
203	446	1742
204	448	1739
205	450	1736
206	452	1734
207	454	1732
208	457	1730
209	459	1727
210	461	1724
211	463	1722
212	465	1719
213	467	1717
214	469	1714
215	471	1712
216	473	1709
217	475	1706
218	477	1703
219	479	1701
220	481	1698
221	484	1696
222	486	1694
223	488	1692
224	490	1690
225	492	1687
226	494	1685
227	496	1682
228	499	1680
229	501	1678
230	503	1675
231	505	1673
232	507	1670
233	509	1668
234	511	1665
235	513	1663
236	515	1660
237	518	1658
238	520	1656
239	522	1654
240	524	1652
241	526	1650
242	529	1648
243	531	1646
244	533	1643
245	535	1641
246	537	1639
247	539	1636
248	541	1634
249	544	1632
250	546	1629
251	548	1627
252	550	1624
